ID;dataset;architecture;seed
51;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);280861838
52;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);412483556
53;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);758610160
54;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);564883708
55;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);134583239
56;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);268500986
57;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);49895890
58;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);534793682
59;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);807339335
60;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);357938588
61;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);978988301
62;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);244695222
63;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);723745050
64;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);401660921
65;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);193691143
66;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);817808161
67;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);420726681
68;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);818325297
69;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);762846618
70;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);247819560
71;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);65975392
72;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);365323617
73;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);220974336
74;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);545152297
75;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);540515443
76;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);182877407
77;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);772993267
78;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);506541183
79;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);846729895
80;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);500669472
81;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);354316502
82;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);522512370
83;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);650663702
84;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);51975067
85;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);614076064
86;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);743019217
87;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);850850823
88;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);538961714
89;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);685542560
90;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);914126583
91;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);359536450
92;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);882758375
93;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);194860564
94;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);653268158
95;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);272680258
96;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);43573507
97;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);767368191
98;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);195798585
99;MNIST;Flatten-Linear(784,16)-Sigmoid-Linear(16,16)-Sigmoid-Linear(16,10)-LogSoftmax(1);206649358
