ID;dataset;architecture;seed;steps;
51;MNIST_6048;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 24, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(24, 162, 3, 1, 1)-ReLU-Flatten-Linear(7938, 10)-LogSoftmax(1);384966093;506;
52;MNIST_17088;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 16, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(16, 204, 3, 1, 1)-ReLU-Flatten-Linear(9996, 10)-LogSoftmax(1);263374537;815;
53;MNIST_27040;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 228, 3, 1, 1)-ReLU-Flatten-Linear(11172, 10)-LogSoftmax(1);845919665;592;
54;MNIST_26048;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 12, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(12, 142, 3, 1, 1)-ReLU-Flatten-Linear(6958, 10)-LogSoftmax(1);892572882;691;
55;MNIST_26944;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 14, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(14, 104, 3, 1, 1)-ReLU-Flatten-Linear(5096, 10)-LogSoftmax(1);493715397;434;
56;MNIST_16384;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 161, 3, 1, 1)-ReLU-Flatten-Linear(7889, 10)-LogSoftmax(1);559166445;318;
57;MNIST_18400;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 20, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(20, 184, 3, 1, 1)-ReLU-Flatten-Linear(9016, 10)-LogSoftmax(1);681400868;783;
58;MNIST_29440;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 99, 3, 1, 1)-ReLU-Flatten-Linear(4851, 10)-LogSoftmax(1);132784964;608;
59;MNIST_12416;Conv2d(1, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 13, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(13, 246, 3, 1, 1)-ReLU-Flatten-Linear(12054, 10)-LogSoftmax(1);179219961;333;
60;MNIST_15360;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 14, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(14, 69, 3, 1, 1)-ReLU-Flatten-Linear(3381, 10)-LogSoftmax(1);342942351;870;
61;MNIST_12864;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 21, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(21, 183, 3, 1, 1)-ReLU-Flatten-Linear(8967, 10)-LogSoftmax(1);138470507;414;
62;MNIST_6848;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 13, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(13, 195, 3, 1, 1)-ReLU-Flatten-Linear(9555, 10)-LogSoftmax(1);395086689;447;
63;MNIST_21248;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 207, 3, 1, 1)-ReLU-Flatten-Linear(10143, 10)-LogSoftmax(1);551353010;631;
64;MNIST_6112;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 17, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(17, 76, 3, 1, 1)-ReLU-Flatten-Linear(3724, 10)-LogSoftmax(1);526563120;832;
65;MNIST_17024;Conv2d(1, 4, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(4, 15, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(15, 155, 3, 1, 1)-ReLU-Flatten-Linear(7595, 10)-LogSoftmax(1);547892100;520;
66;MNIST_14272;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 10, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(10, 143, 3, 1, 1)-ReLU-Flatten-Linear(7007, 10)-LogSoftmax(1);958733851;360;
67;MNIST_17376;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 21, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(21, 178, 3, 1, 1)-ReLU-Flatten-Linear(8722, 10)-LogSoftmax(1);46920774;971;
68;MNIST_20320;Conv2d(1, 4, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(4, 17, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(17, 99, 3, 1, 1)-ReLU-Flatten-Linear(4851, 10)-LogSoftmax(1);48914259;892;
69;MNIST_27744;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 203, 3, 1, 1)-ReLU-Flatten-Linear(9947, 10)-LogSoftmax(1);606982068;873;
70;MNIST_19584;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 187, 3, 1, 1)-ReLU-Flatten-Linear(9163, 10)-LogSoftmax(1);909692949;481;
71;MNIST_17280;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 159, 3, 1, 1)-ReLU-Flatten-Linear(7791, 10)-LogSoftmax(1);709429373;665;
72;MNIST_10912;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 16, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(16, 205, 3, 1, 1)-ReLU-Flatten-Linear(10045, 10)-LogSoftmax(1);826615641;927;
73;MNIST_6496;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 15, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(15, 201, 3, 1, 1)-ReLU-Flatten-Linear(9849, 10)-LogSoftmax(1);453979089;326;
74;MNIST_17248;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 23, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(23, 174, 3, 1, 1)-ReLU-Flatten-Linear(8526, 10)-LogSoftmax(1);330914630;371;
75;MNIST_14432;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 12, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(12, 224, 3, 1, 1)-ReLU-Flatten-Linear(10976, 10)-LogSoftmax(1);656456878;447;
76;MNIST_17568;Conv2d(1, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 242, 3, 1, 1)-ReLU-Flatten-Linear(11858, 10)-LogSoftmax(1);692559468;453;
77;MNIST_8256;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 15, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(15, 78, 3, 1, 1)-ReLU-Flatten-Linear(3822, 10)-LogSoftmax(1);94848173;340;
78;MNIST_13984;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 17, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(17, 121, 3, 1, 1)-ReLU-Flatten-Linear(5929, 10)-LogSoftmax(1);767999222;894;
79;MNIST_12544;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 18, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(18, 91, 3, 1, 1)-ReLU-Flatten-Linear(4459, 10)-LogSoftmax(1);732740509;365;
80;MNIST_29216;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 148, 3, 1, 1)-ReLU-Flatten-Linear(7252, 10)-LogSoftmax(1);955411453;552;
81;MNIST_20480;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 22, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(22, 113, 3, 1, 1)-ReLU-Flatten-Linear(5537, 10)-LogSoftmax(1);108292162;318;
82;MNIST_17728;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 16, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(16, 89, 3, 1, 1)-ReLU-Flatten-Linear(4361, 10)-LogSoftmax(1);628500738;844;
83;MNIST_28288;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 16, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(16, 148, 3, 1, 1)-ReLU-Flatten-Linear(7252, 10)-LogSoftmax(1);784353714;714;
84;MNIST_6208;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 13, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(13, 189, 3, 1, 1)-ReLU-Flatten-Linear(9261, 10)-LogSoftmax(1);555927508;330;
85;MNIST_7776;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 16, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(16, 104, 3, 1, 1)-ReLU-Flatten-Linear(5096, 10)-LogSoftmax(1);121374477;716;
86;MNIST_9952;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 227, 3, 1, 1)-ReLU-Flatten-Linear(11123, 10)-LogSoftmax(1);614230241;346;
87;MNIST_10400;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 19, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(19, 102, 3, 1, 1)-ReLU-Flatten-Linear(4998, 10)-LogSoftmax(1);803575145;367;
88;MNIST_14848;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 18, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(18, 67, 3, 1, 1)-ReLU-Flatten-Linear(3283, 10)-LogSoftmax(1);100099230;622;
89;MNIST_21632;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 169, 3, 1, 1)-ReLU-Flatten-Linear(8281, 10)-LogSoftmax(1);341604808;511;
90;MNIST_23840;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 83, 3, 1, 1)-ReLU-Flatten-Linear(4067, 10)-LogSoftmax(1);896839395;444;
91;MNIST_7680;Conv2d(1, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 18, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(18, 157, 3, 1, 1)-ReLU-Flatten-Linear(7693, 10)-LogSoftmax(1);300655330;705;
92;MNIST_11008;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 21, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(21, 152, 3, 1, 1)-ReLU-Flatten-Linear(7448, 10)-LogSoftmax(1);800030713;467;
93;MNIST_22368;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 61, 3, 1, 1)-ReLU-Flatten-Linear(2989, 10)-LogSoftmax(1);854754649;537;
94;MNIST_13600;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 22, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(22, 63, 3, 1, 1)-ReLU-Flatten-Linear(3087, 10)-LogSoftmax(1);316005183;863;
95;MNIST_11104;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 146, 3, 1, 1)-ReLU-Flatten-Linear(7154, 10)-LogSoftmax(1);662691777;891;
96;MNIST_13856;Conv2d(1, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 11, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(11, 238, 3, 1, 1)-ReLU-Flatten-Linear(11662, 10)-LogSoftmax(1);888322309;710;
97;MNIST_18944;Conv2d(1, 4, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(4, 15, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(15, 161, 3, 1, 1)-ReLU-Flatten-Linear(7889, 10)-LogSoftmax(1);574142479;792;
98;MNIST_8192;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 231, 3, 1, 1)-ReLU-Flatten-Linear(11319, 10)-LogSoftmax(1);211625200;390;
99;MNIST_14048;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 24, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(24, 54, 3, 1, 1)-ReLU-Flatten-Linear(2646, 10)-LogSoftmax(1);498679091;643;
