ID;dataset;architecture;seed;steps;
12;MNIST_13582;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 20, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(20, 59, 3, 1, 1)-ReLU-Flatten-Linear(2891, 10)-LogSoftmax(1);73411480;622;
13;MNIST_20133;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 21, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(21, 231, 3, 1, 1)-ReLU-Flatten-Linear(11319, 10)-LogSoftmax(1);747370677;745;
14;MNIST_16350;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 21, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(21, 128, 3, 1, 1)-ReLU-Flatten-Linear(6272, 10)-LogSoftmax(1);590418655;805;
15;MNIST_10441;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 23, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(23, 169, 3, 1, 1)-ReLU-Flatten-Linear(8281, 10)-LogSoftmax(1);759601910;891;
16;MNIST_21442;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 16, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(16, 203, 3, 1, 1)-ReLU-Flatten-Linear(9947, 10)-LogSoftmax(1);279035288;328;
17;MNIST_25407;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 11, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(11, 200, 3, 1, 1)-ReLU-Flatten-Linear(9800, 10)-LogSoftmax(1);390813115;866;
18;MNIST_10375;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 15, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(15, 76, 3, 1, 1)-ReLU-Flatten-Linear(3724, 10)-LogSoftmax(1);417406150;885;
19;MNIST_18651;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 15, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(15, 163, 3, 1, 1)-ReLU-Flatten-Linear(7987, 10)-LogSoftmax(1);676716673;630;
20;MNIST_28387;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 16, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(16, 61, 3, 1, 1)-ReLU-Flatten-Linear(2989, 10)-LogSoftmax(1);483634587;495;
21;MNIST_24489;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 145, 3, 1, 1)-ReLU-Flatten-Linear(7105, 10)-LogSoftmax(1);587269322;614;
22;MNIST_16764;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 12, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(12, 137, 3, 1, 1)-ReLU-Flatten-Linear(6713, 10)-LogSoftmax(1);896937394;463;
23;MNIST_13599;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 220, 3, 1, 1)-ReLU-Flatten-Linear(10780, 10)-LogSoftmax(1);482762874;986;
24;MNIST_11563;Conv2d(1, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 12, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(12, 168, 3, 1, 1)-ReLU-Flatten-Linear(8232, 10)-LogSoftmax(1);62829004;561;
25;MNIST_10560;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 12, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(12, 170, 3, 1, 1)-ReLU-Flatten-Linear(8330, 10)-LogSoftmax(1);432423572;882;
26;MNIST_9747;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 14, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(14, 110, 3, 1, 1)-ReLU-Flatten-Linear(5390, 10)-LogSoftmax(1);90250538;933;
27;MNIST_13566;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 13, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(13, 209, 3, 1, 1)-ReLU-Flatten-Linear(10241, 10)-LogSoftmax(1);700199045;773;
28;MNIST_7436;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 13, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(13, 141, 3, 1, 1)-ReLU-Flatten-Linear(6909, 10)-LogSoftmax(1);922181636;891;
29;MNIST_23145;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 23, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(23, 148, 3, 1, 1)-ReLU-Flatten-Linear(7252, 10)-LogSoftmax(1);88633046;927;
30;MNIST_7037;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 61, 3, 1, 1)-ReLU-Flatten-Linear(2989, 10)-LogSoftmax(1);216976841;869;
31;MNIST_14864;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 19, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(19, 130, 3, 1, 1)-ReLU-Flatten-Linear(6370, 10)-LogSoftmax(1);650853430;605;
32;MNIST_6389;Conv2d(1, 4, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(4, 21, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(21, 145, 3, 1, 1)-ReLU-Flatten-Linear(7105, 10)-LogSoftmax(1);502921667;960;
33;MNIST_9382;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 10, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(10, 77, 3, 1, 1)-ReLU-Flatten-Linear(3773, 10)-LogSoftmax(1);850545979;309;
34;MNIST_15342;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 12, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(12, 235, 3, 1, 1)-ReLU-Flatten-Linear(11515, 10)-LogSoftmax(1);283063259;447;
35;MNIST_20967;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 10, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(10, 50, 3, 1, 1)-ReLU-Flatten-Linear(2450, 10)-LogSoftmax(1);632368576;862;
36;MNIST_19502;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 17, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(17, 184, 3, 1, 1)-ReLU-Flatten-Linear(9016, 10)-LogSoftmax(1);27639030;643;
37;MNIST_12150;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 14, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(14, 79, 3, 1, 1)-ReLU-Flatten-Linear(3871, 10)-LogSoftmax(1);923343467;374;
38;MNIST_24988;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 19, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(19, 81, 3, 1, 1)-ReLU-Flatten-Linear(3969, 10)-LogSoftmax(1);665581259;493;
39;MNIST_13019;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 114, 3, 1, 1)-ReLU-Flatten-Linear(5586, 10)-LogSoftmax(1);56307477;761;
40;MNIST_10594;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 11, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(11, 208, 3, 1, 1)-ReLU-Flatten-Linear(10192, 10)-LogSoftmax(1);942298166;582;
41;MNIST_8597;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 12, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(12, 166, 3, 1, 1)-ReLU-Flatten-Linear(8134, 10)-LogSoftmax(1);313386172;719;
42;MNIST_25993;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 18, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(18, 140, 3, 1, 1)-ReLU-Flatten-Linear(6860, 10)-LogSoftmax(1);840627960;350;
43;MNIST_9860;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 132, 3, 1, 1)-ReLU-Flatten-Linear(6468, 10)-LogSoftmax(1);222275973;486;
44;MNIST_26577;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 99, 3, 1, 1)-ReLU-Flatten-Linear(4851, 10)-LogSoftmax(1);972703876;803;
45;MNIST_16576;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 61, 3, 1, 1)-ReLU-Flatten-Linear(2989, 10)-LogSoftmax(1);109829453;990;
46;MNIST_21365;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 22, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(22, 224, 3, 1, 1)-ReLU-Flatten-Linear(10976, 10)-LogSoftmax(1);383971483;436;
47;MNIST_13892;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 15, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(15, 105, 3, 1, 1)-ReLU-Flatten-Linear(5145, 10)-LogSoftmax(1);643171914;832;
48;MNIST_9794;Conv2d(1, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 19, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(19, 132, 3, 1, 1)-ReLU-Flatten-Linear(6468, 10)-LogSoftmax(1);670675758;437;
49;MNIST_11715;Conv2d(1, 4, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(4, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 231, 3, 1, 1)-ReLU-Flatten-Linear(11319, 10)-LogSoftmax(1);718247435;662;
50;MNIST_12776;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 19, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(19, 94, 3, 1, 1)-ReLU-Flatten-Linear(4606, 10)-LogSoftmax(1);870508044;842;
51;MNIST_6065;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 24, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(24, 162, 3, 1, 1)-ReLU-Flatten-Linear(7938, 10)-LogSoftmax(1);384966093;506;
52;MNIST_17105;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 16, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(16, 204, 3, 1, 1)-ReLU-Flatten-Linear(9996, 10)-LogSoftmax(1);263374537;815;
53;MNIST_27050;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 228, 3, 1, 1)-ReLU-Flatten-Linear(11172, 10)-LogSoftmax(1);845919665;592;
54;MNIST_26067;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 12, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(12, 142, 3, 1, 1)-ReLU-Flatten-Linear(6958, 10)-LogSoftmax(1);892572882;691;
55;MNIST_26954;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 14, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(14, 104, 3, 1, 1)-ReLU-Flatten-Linear(5096, 10)-LogSoftmax(1);493715397;434;
56;MNIST_16397;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 161, 3, 1, 1)-ReLU-Flatten-Linear(7889, 10)-LogSoftmax(1);559166445;318;
57;MNIST_18417;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 20, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(20, 184, 3, 1, 1)-ReLU-Flatten-Linear(9016, 10)-LogSoftmax(1);681400868;783;
58;MNIST_29469;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 99, 3, 1, 1)-ReLU-Flatten-Linear(4851, 10)-LogSoftmax(1);132784964;608;
59;MNIST_12426;Conv2d(1, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 13, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(13, 246, 3, 1, 1)-ReLU-Flatten-Linear(12054, 10)-LogSoftmax(1);179219961;333;
60;MNIST_15386;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 14, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(14, 69, 3, 1, 1)-ReLU-Flatten-Linear(3381, 10)-LogSoftmax(1);342942351;870;
61;MNIST_12876;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 21, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(21, 183, 3, 1, 1)-ReLU-Flatten-Linear(8967, 10)-LogSoftmax(1);138470507;414;
62;MNIST_6861;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 13, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(13, 195, 3, 1, 1)-ReLU-Flatten-Linear(9555, 10)-LogSoftmax(1);395086689;447;
63;MNIST_21264;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 207, 3, 1, 1)-ReLU-Flatten-Linear(10143, 10)-LogSoftmax(1);551353010;631;
64;MNIST_6136;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 17, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(17, 76, 3, 1, 1)-ReLU-Flatten-Linear(3724, 10)-LogSoftmax(1);526563120;832;
65;MNIST_17048;Conv2d(1, 4, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(4, 15, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(15, 155, 3, 1, 1)-ReLU-Flatten-Linear(7595, 10)-LogSoftmax(1);547892100;520;
66;MNIST_14280;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 10, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(10, 143, 3, 1, 1)-ReLU-Flatten-Linear(7007, 10)-LogSoftmax(1);958733851;360;
67;MNIST_17402;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 21, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(21, 178, 3, 1, 1)-ReLU-Flatten-Linear(8722, 10)-LogSoftmax(1);46920774;971;
68;MNIST_20330;Conv2d(1, 4, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(4, 17, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(17, 99, 3, 1, 1)-ReLU-Flatten-Linear(4851, 10)-LogSoftmax(1);48914259;892;
69;MNIST_27753;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 203, 3, 1, 1)-ReLU-Flatten-Linear(9947, 10)-LogSoftmax(1);606982068;873;
70;MNIST_19586;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 187, 3, 1, 1)-ReLU-Flatten-Linear(9163, 10)-LogSoftmax(1);909692949;481;
71;MNIST_17283;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 159, 3, 1, 1)-ReLU-Flatten-Linear(7791, 10)-LogSoftmax(1);709429373;665;
72;MNIST_10940;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 16, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(16, 205, 3, 1, 1)-ReLU-Flatten-Linear(10045, 10)-LogSoftmax(1);826615641;927;
73;MNIST_6516;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 15, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(15, 201, 3, 1, 1)-ReLU-Flatten-Linear(9849, 10)-LogSoftmax(1);453979089;326;
74;MNIST_17272;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 23, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(23, 174, 3, 1, 1)-ReLU-Flatten-Linear(8526, 10)-LogSoftmax(1);330914630;371;
75;MNIST_14462;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 12, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(12, 224, 3, 1, 1)-ReLU-Flatten-Linear(10976, 10)-LogSoftmax(1);656456878;447;
76;MNIST_17598;Conv2d(1, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 242, 3, 1, 1)-ReLU-Flatten-Linear(11858, 10)-LogSoftmax(1);692559468;453;
77;MNIST_8266;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 15, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(15, 78, 3, 1, 1)-ReLU-Flatten-Linear(3822, 10)-LogSoftmax(1);94848173;340;
78;MNIST_14006;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 17, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(17, 121, 3, 1, 1)-ReLU-Flatten-Linear(5929, 10)-LogSoftmax(1);767999222;894;
79;MNIST_12575;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 18, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(18, 91, 3, 1, 1)-ReLU-Flatten-Linear(4459, 10)-LogSoftmax(1);732740509;365;
80;MNIST_29246;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 148, 3, 1, 1)-ReLU-Flatten-Linear(7252, 10)-LogSoftmax(1);955411453;552;
81;MNIST_20505;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 22, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(22, 113, 3, 1, 1)-ReLU-Flatten-Linear(5537, 10)-LogSoftmax(1);108292162;318;
82;MNIST_17754;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 16, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(16, 89, 3, 1, 1)-ReLU-Flatten-Linear(4361, 10)-LogSoftmax(1);628500738;844;
83;MNIST_28308;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 16, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(16, 148, 3, 1, 1)-ReLU-Flatten-Linear(7252, 10)-LogSoftmax(1);784353714;714;
84;MNIST_6223;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 13, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(13, 189, 3, 1, 1)-ReLU-Flatten-Linear(9261, 10)-LogSoftmax(1);555927508;330;
85;MNIST_7796;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 16, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(16, 104, 3, 1, 1)-ReLU-Flatten-Linear(5096, 10)-LogSoftmax(1);121374477;716;
86;MNIST_9961;Conv2d(1, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 6, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(6, 227, 3, 1, 1)-ReLU-Flatten-Linear(11123, 10)-LogSoftmax(1);614230241;346;
87;MNIST_10411;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 19, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(19, 102, 3, 1, 1)-ReLU-Flatten-Linear(4998, 10)-LogSoftmax(1);803575145;367;
88;MNIST_14862;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 18, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(18, 67, 3, 1, 1)-ReLU-Flatten-Linear(3283, 10)-LogSoftmax(1);100099230;622;
89;MNIST_21663;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 169, 3, 1, 1)-ReLU-Flatten-Linear(8281, 10)-LogSoftmax(1);341604808;511;
90;MNIST_23871;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 83, 3, 1, 1)-ReLU-Flatten-Linear(4067, 10)-LogSoftmax(1);896839395;444;
91;MNIST_7708;Conv2d(1, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 18, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(18, 157, 3, 1, 1)-ReLU-Flatten-Linear(7693, 10)-LogSoftmax(1);300655330;705;
92;MNIST_11033;Conv2d(1, 2, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(2, 21, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(21, 152, 3, 1, 1)-ReLU-Flatten-Linear(7448, 10)-LogSoftmax(1);800030713;467;
93;MNIST_22369;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 61, 3, 1, 1)-ReLU-Flatten-Linear(2989, 10)-LogSoftmax(1);854754649;537;
94;MNIST_13620;Conv2d(1, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 22, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(22, 63, 3, 1, 1)-ReLU-Flatten-Linear(3087, 10)-LogSoftmax(1);316005183;863;
95;MNIST_11106;Conv2d(1, 3, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(3, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 146, 3, 1, 1)-ReLU-Flatten-Linear(7154, 10)-LogSoftmax(1);662691777;891;
96;MNIST_13878;Conv2d(1, 9, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(9, 11, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(11, 238, 3, 1, 1)-ReLU-Flatten-Linear(11662, 10)-LogSoftmax(1);888322309;710;
97;MNIST_18961;Conv2d(1, 4, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(4, 15, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(15, 161, 3, 1, 1)-ReLU-Flatten-Linear(7889, 10)-LogSoftmax(1);574142479;792;
98;MNIST_8197;Conv2d(1, 8, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(8, 7, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(7, 231, 3, 1, 1)-ReLU-Flatten-Linear(11319, 10)-LogSoftmax(1);211625200;390;
99;MNIST_14075;Conv2d(1, 5, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(5, 24, 3, 1, 1)-MaxPool2d(2, 2)-Conv2d(24, 54, 3, 1, 1)-ReLU-Flatten-Linear(2646, 10)-LogSoftmax(1);498679091;643;
