ID;family;order;low;high;coefficients
62;polynomial;2;-2;2;[1.38772074 1.17931495 0.14894297]
63;polynomial;2;-2;2;[1.83211895 1.46365418 0.83348526]
64;polynomial;2;-2;2;[ 0.80810264 -1.50015507  0.71603516]
65;polynomial;2;-2;2;[ 0.49635486  0.30831835 -0.90014608]
66;polynomial;2;-2;2;[ 1.61866402  0.12849333 -0.15058926]
67;polynomial;2;-2;2;[1.77857509 0.43701914 1.36921987]
68;polynomial;2;-2;2;[ 1.01024101 -1.813076    1.39438456]
69;polynomial;2;-2;2;[ 1.82706213 -1.87408124  0.9215656 ]
70;polynomial;2;-2;2;[ 1.92153041  0.73178682 -1.53234524]
71;polynomial;2;-2;2;[ 1.59979421  1.62815351 -0.80881236]
72;polynomial;2;-2;2;[ 0.56386654 -1.44542204  1.23425106]
73;polynomial;2;-2;2;[0.66926711 1.39155101 0.41316224]
74;polynomial;2;-2;2;[ 1.32450286 -0.54500624 -1.12927213]
75;polynomial;2;-2;2;[ 0.61885855 -0.80000651  0.95629845]
76;polynomial;2;-2;2;[ 0.36655116  1.1193746  -0.70521897]
77;polynomial;2;-2;2;[0.67760842 0.91049889 0.26884035]
78;polynomial;2;-2;2;[ 1.06251643  0.3215456  -1.62104102]
79;polynomial;2;-2;2;[0.2279858  0.94281505 1.84008426]
80;polynomial;2;-2;2;[ 1.31043029  0.28004056 -1.8081855 ]
81;polynomial;2;-2;2;[ 0.62580497 -1.12135921 -0.69579266]
82;polynomial;2;-2;2;[1.24914095 0.98840342 0.3340884 ]
83;polynomial;2;-2;2;[0.47593361 1.93586128 0.6443228 ]
84;polynomial;2;-2;2;[ 1.34573604  1.43689776 -1.13355424]
85;polynomial;2;-2;2;[ 1.89113274  0.63876514 -1.79393219]
86;polynomial;2;-2;2;[ 1.46278068 -1.84283908 -1.92929842]
87;polynomial;2;-2;2;[ 0.49238671 -0.82773779  1.04957988]
88;polynomial;2;-2;2;[ 0.32943561  0.26587561 -0.42239412]
89;polynomial;2;-2;2;[ 1.54622633 -1.36069323 -0.0299869 ]
90;polynomial;2;-2;2;[ 0.00191811 -1.81941559 -0.15238559]
91;polynomial;2;-2;2;[ 0.64149059 -1.15622281 -1.73810503]
92;polynomial;2;-2;2;[ 0.05783661 -0.29820674  1.09300444]
93;polynomial;2;-2;2;[ 0.80569521 -0.14284242  0.82858151]
94;polynomial;2;-2;2;[ 0.79672597  0.95598787 -0.57743879]
95;polynomial;2;-2;2;[ 0.95491835 -0.198076   -1.89968615]
96;polynomial;2;-2;2;[ 0.98197253  1.51700306 -0.06688907]
97;polynomial;2;-2;2;[ 1.35148568  0.92256848 -0.01721882]
98;polynomial;2;-2;2;[ 0.03135442 -1.2289866  -0.185213  ]
99;polynomial;2;-2;2;[ 1.83573992  0.24883229 -1.50371793]
